,index,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
0,47328,Vacant/Abandoned Building,15-00000034,2015-01-01,Front,,Open,FRONT AND REAR,Vacant,true,false,3331,W,66TH,PL,60629,1155327.70141473,1860334.51051279,15,8,66,41.77255760318904,-87.706167702742,"(41.77255760318904, -87.706167702742)"
1,47342,Vacant/Abandoned Building,15-00014872,2015-01-05,Front,,Open,,Vacant,true,true,1545,W,35TH,ST,60609,1166512.88989975,1881539.55453174,11,9,59,41.83051556698023,-87.66456095545988,"(41.83051556698023, -87.66456095545988)"
2,47390,Vacant/Abandoned Building,15-00019426,2015-01-05,,,,,,,,3114,W,FILLMORE,ST,60612,1155717.61919534,1895207.75417089,24,11,29,41.86824646093783,-87.70380174095493,"(41.86824646093783, -87.70380174095493)"
3,47393,Vacant/Abandoned Building,15-00000728,2015-01-01,Front,,Open,JUST FRONT BACK DOOR AREA LOCKED UP,Vacant,false,true,8536,S,YATES,BLVD,60617,1193650.67441029,1848841.48319405,8,4,46,41.740167064307315,-87.56606362815393,"(41.740167064307315, -87.56606362815393)"
4,47394,Vacant/Abandoned Building,15-00001777,2015-01-01,Rear,,Open,REAR OF HOUSE SHINGLES FALLING OFF,Vacant,false,false,1433,N,LOCKWOOD,AVE,60651,1140764.66900929,1909024.40601078,37,25,25,41.906448858846424,-87.75835780173256,"(41.906448858846424, -87.75835780173256)"
5,47395,Vacant/Abandoned Building,15-00011546,2015-01-03,Front,,Open,BACK DOOR,Vacant,false,true,4853,W,RICE,ST,60651,1143843.96321725,1905215.99376674,37,15,25,41.89594095364359,-87.74714180184003,"(41.89594095364359, -87.74714180184003)"
6,47429,Vacant/Abandoned Building,15-00007593,2015-01-02,Rear,,Open,REA,Vacant,false,false,714,N,LOCKWOOD,AVE,60644,1140897.39650262,1904216.83059151,37,15,25,41.89325386370887,-87.75798867154046,"(41.89325386370887, -87.75798867154046)"
7,47430,Vacant/Abandoned Building,15-00028364,2015-01-07,Front,,Open,,Vacant,false,false,817,E,79TH,ST,60619,1183118.11357401,1852804.99597898,8,6,44,41.75129458084745,-87.60453013742372,"(41.75129458084745, -87.60453013742372)"
8,47453,Vacant/Abandoned Building,15-00025034,2015-01-06,Front,,Open,FRONT,Vacant,false,false,2026,W,CHASE,AVE,60645,1161433.80470783,1948370.32998,49,24,1,42.01401075396827,-87.68133196940192,"(42.01401075396827, -87.68133196940192)"
9,47454,Vacant/Abandoned Building,15-00027886,2015-01-07,,,,,,,,3657,N,LUNA,AVE,60641,1138705.40000798,1923767.94128623,38,16,15,41.94694434820394,-87.76556379608864,"(41.94694434820394, -87.76556379608864)"
